"start_lat","start_lng","member_casual","mean_duration"
41.77984,-87.63477,"member",14
41.77987,-87.65092,"casual",21
41.77987,-87.65092,"member",20
41.78,-87.73,"casual",12
41.78,-87.73,"member",13
41.78,-87.72,"casual",13
41.78,-87.72,"member",11
41.78,-87.71,"casual",13
41.78,-87.71,"member",9
41.78,-87.7,"casual",14
41.78,-87.7,"member",12
41.78,-87.69,"casual",17
41.78,-87.69,"member",15
41.78,-87.68,"casual",13
41.78,-87.68,"member",11
41.78,-87.67,"casual",29
41.78,-87.67,"member",19
41.78,-87.66,"casual",19
41.78,-87.66,"member",13
41.78,-87.65,"casual",22
41.78,-87.65,"member",23
41.78,-87.64,"casual",18
41.78,-87.64,"member",13
41.78,-87.61,"casual",13
41.78,-87.61,"member",12
41.78,-87.6,"casual",10
41.78,-87.6,"member",7
41.78,-87.59,"casual",13
41.78,-87.59,"member",10
41.78,-87.57,"casual",28
41.78,-87.57,"member",19
41.78008,-87.62975,"casual",13
41.78008,-87.62975,"member",11
41.78008,-87.61594,"casual",14
41.78008,-87.61594,"member",11
41.78041,-87.59142,"casual",24
41.78041,-87.59142,"member",13
41.78053,-87.60597,"casual",19
41.78053,-87.60597,"member",14
41.7806,-87.58485,"casual",28
41.7806,-87.58485,"member",23
41.78091,-87.57632,"casual",31
41.78091,-87.57632,"member",23
41.78319,-87.65437,"casual",13
41.78319,-87.65437,"member",17
41.78407,-87.61448,"casual",23
41.78407,-87.61448,"member",15
41.7851,-87.60107,"casual",11
41.7851,-87.60107,"member",6
41.78586,-87.67414,"casual",18
41.78586,-87.67414,"member",16
41.78754,-87.64487,"casual",20
41.78754,-87.64487,"member",14
41.78794,-87.58832,"casual",16
41.78794,-87.58832,"member",9
41.78875,-87.60133,"casual",16
41.78875,-87.60133,"member",7
41.7897,-87.6547,"casual",25
41.7897,-87.6547,"member",16
41.78985,-87.70309,"casual",8
41.79,-87.74,"casual",11
41.79,-87.74,"member",10
41.79,-87.73,"casual",11
41.79,-87.73,"member",12
41.79,-87.72,"casual",10
41.79,-87.72,"member",9
41.79,-87.71,"casual",12
41.79,-87.71,"member",12
41.79,-87.7,"casual",11
41.79,-87.7,"member",16
41.79,-87.69,"casual",13
41.79,-87.69,"member",14
41.79,-87.66,"casual",15
41.79,-87.66,"member",26
41.79,-87.65,"casual",24
41.79,-87.65,"member",19
41.79,-87.62,"casual",13
41.79,-87.62,"member",10
41.79148,-87.59986,"casual",12
41.79148,-87.59986,"member",7
41.79157,-87.60785,"casual",18
41.79157,-87.60785,"member",15
41.79173,-87.58395,"casual",36
41.79173,-87.58395,"member",19
41.79282,-87.66443,"casual",20
41.79282,-87.66443,"member",21
41.79293,-87.64499,"casual",24
41.79293,-87.64499,"member",17
41.79324,-87.58778,"casual",20
41.79324,-87.58778,"member",10
41.79343,-87.61585,"casual",17
41.79343,-87.61585,"member",11
41.79409,-87.67548,"casual",16
41.79409,-87.67548,"member",26
41.79411,-87.68579,"casual",16
41.79423,-87.65507,"casual",23
41.79423,-87.65507,"member",22
41.7943,-87.60145,"casual",12
41.7943,-87.60145,"member",7
41.79485,-87.61869,"casual",15
41.79485,-87.61869,"member",9
41.79498,-87.63312,"casual",18
41.79498,-87.63312,"member",14
41.79521,-87.58072,"casual",30
41.79521,-87.58072,"member",17
41.79526,-87.59647,"casual",15
41.79526,-87.59647,"member",8
41.79664,-87.62592,"casual",22
41.79664,-87.62592,"member",16
41.79934,-87.60096,"casual",12
41.79934,-87.60096,"member",8
41.79949,-87.58645,"casual",27
41.79949,-87.58645,"member",14
41.79957,-87.59475,"casual",15
41.79957,-87.59475,"member",9
41.79966,-87.6572,"casual",20
41.79966,-87.6572,"member",18
41.8,-87.76,"casual",39
41.8,-87.76,"member",35
41.8,-87.75,"casual",23
41.8,-87.75,"member",13
41.8,-87.74,"casual",15
41.8,-87.74,"member",4
41.8,-87.73,"casual",12
41.8,-87.73,"member",9
41.8,-87.72,"casual",11
41.8,-87.72,"member",9
41.8,-87.7,"casual",10
41.8,-87.7,"member",9
41.8,-87.69,"casual",12
41.8,-87.69,"member",10
41.8,-87.68,"casual",10
41.8,-87.68,"member",10
41.8,-87.67,"casual",15
41.8,-87.67,"member",13
41.8,-87.66,"casual",17
41.8,-87.66,"member",15
41.8,-87.64,"casual",17
41.8,-87.64,"member",18
41.8,-87.62,"casual",12
41.8,-87.62,"member",10
41.8,-87.58,"casual",20
41.8,-87.58,"member",14
41.80091,-87.67468,"casual",16
41.80091,-87.67468,"member",15
41.80183,-87.64521,"casual",24
41.80183,-87.64521,"member",12
41.80229,-87.61805,"casual",16
41.80229,-87.61805,"member",15
41.80241,-87.58692,"casual",26
41.80241,-87.58692,"member",13
41.80256,-87.59037,"casual",17
41.80256,-87.59037,"member",11
41.80302,-87.6647,"casual",23
41.80302,-87.6647,"member",13
41.80304,-87.60662,"casual",15
41.80304,-87.60662,"member",13
41.80566,-87.68339,"casual",14
41.80566,-87.68339,"member",13
41.80577,-87.59246,"casual",29
41.80577,-87.59246,"member",16
41.80813,-87.64562,"casual",16
41.80813,-87.64562,"member",14
41.80823,-87.67718,"casual",15
41.80823,-87.67718,"member",13
41.80839,-87.65653,"casual",17
41.80839,-87.65653,"member",9
41.80887,-87.66454,"casual",21
41.80887,-87.66454,"member",21
41.80932,-87.63345,"casual",13
41.80932,-87.63345,"member",10
41.80944,-87.59188,"casual",27
41.80944,-87.59188,"member",19
41.80984,-87.59938,"casual",23
41.80984,-87.59938,"member",15
41.80985,-87.61628,"casual",18
41.80985,-87.61628,"member",14
41.80986,-87.60676,"casual",18
41.80986,-87.60676,"member",13
41.81,-87.75,"casual",24
41.81,-87.75,"member",29
41.81,-87.73,"casual",12
41.81,-87.73,"member",8
41.81,-87.72,"casual",14
