"start_lat","start_lng","member_casual","rideable_type","n"
41.73238,-87.65807,"casual","docked_bike",2
41.73238,-87.65807,"casual","electric_bike",46
41.73238,-87.65807,"member","classic_bike",15
41.73238,-87.65807,"member","electric_bike",38
41.73367,-87.55834,"casual","classic_bike",40
41.73367,-87.55834,"casual","docked_bike",3
41.73367,-87.55834,"casual","electric_bike",23
41.73367,-87.55834,"member","classic_bike",33
41.73367,-87.55834,"member","electric_bike",11
41.73656,-87.60126,"casual","classic_bike",63
41.73656,-87.60126,"casual","docked_bike",10
41.73656,-87.60126,"casual","electric_bike",40
41.73656,-87.60126,"member","classic_bike",56
41.73656,-87.60126,"member","electric_bike",24
41.73665,-87.62263,"casual","classic_bike",103
41.73665,-87.62263,"casual","docked_bike",11
41.73665,-87.62263,"casual","electric_bike",169
41.73665,-87.62263,"member","classic_bike",87
41.73665,-87.62263,"member","electric_bike",201
41.73682,-87.5828,"casual","classic_bike",20
41.73682,-87.5828,"casual","docked_bike",9
41.73682,-87.5828,"casual","electric_bike",42
41.73682,-87.5828,"member","classic_bike",53
41.73682,-87.5828,"member","electric_bike",18
41.73715,-87.57274,"casual","classic_bike",33
41.73715,-87.57274,"casual","docked_bike",9
41.73715,-87.57274,"casual","electric_bike",39
41.73715,-87.57274,"member","classic_bike",21
41.73715,-87.57274,"member","electric_bike",8
41.73734,-87.54851,"casual","classic_bike",56
41.73734,-87.54851,"casual","docked_bike",14
41.73734,-87.54851,"casual","electric_bike",40
41.73734,-87.54851,"member","classic_bike",21
41.73734,-87.54851,"member","electric_bike",43
41.73785,-87.6449,"casual","classic_bike",17
41.73785,-87.6449,"casual","electric_bike",36
41.73785,-87.6449,"member","classic_bike",74
41.73785,-87.6449,"member","electric_bike",47
41.74,-87.67,"casual","electric_bike",22
41.74,-87.67,"member","electric_bike",2
41.74,-87.66,"casual","electric_bike",52
41.74,-87.66,"member","electric_bike",191
41.74,-87.65,"casual","electric_bike",75
41.74,-87.65,"member","electric_bike",69
41.74,-87.63,"casual","electric_bike",96
41.74,-87.63,"member","electric_bike",116
41.74,-87.61,"casual","electric_bike",27
41.74,-87.61,"member","electric_bike",28
41.74,-87.6,"casual","electric_bike",65
41.74,-87.6,"member","electric_bike",63
41.74,-87.59,"casual","electric_bike",90
41.74,-87.59,"member","electric_bike",34
41.74,-87.58,"casual","electric_bike",139
41.74,-87.58,"member","electric_bike",16
41.74,-87.57,"casual","electric_bike",90
41.74,-87.57,"member","electric_bike",9
41.74,-87.56,"casual","electric_bike",30
41.74,-87.56,"member","electric_bike",143
41.74,-87.55,"casual","electric_bike",105
41.74,-87.55,"member","electric_bike",284
41.74,-87.54,"casual","electric_bike",4
41.74,-87.54,"member","electric_bike",9
41.74,-87.53,"casual","electric_bike",61
41.74,-87.53,"member","electric_bike",13
41.74149,-87.65841,"casual","classic_bike",32
41.74149,-87.65841,"casual","docked_bike",3
41.74149,-87.65841,"casual","electric_bike",10
41.74149,-87.65841,"member","classic_bike",54
41.74149,-87.65841,"member","electric_bike",40
41.74312,-87.6148,"casual","classic_bike",35
41.74312,-87.6148,"casual","docked_bike",6
41.74312,-87.6148,"casual","electric_bike",31
41.74312,-87.6148,"member","classic_bike",69
41.74312,-87.6148,"member","electric_bike",24
41.74332,-87.62285,"casual","classic_bike",39
41.74332,-87.62285,"casual","docked_bike",8
41.74332,-87.62285,"casual","electric_bike",8
41.74332,-87.62285,"member","classic_bike",19
41.74332,-87.62285,"member","electric_bike",7
41.74344,-87.60484,"casual","classic_bike",64
41.74344,-87.60484,"casual","docked_bike",10
41.74344,-87.60484,"casual","electric_bike",119
41.74344,-87.60484,"member","classic_bike",69
41.74344,-87.60484,"member","electric_bike",147
